Samp,Reads,Status,Group
Konzo35,6406060,cleaned,Kahemba Control
Konzo36,6231621,cleaned,Kahemba Control
Konzo37,6364594,cleaned,Kahemba Control
Konzo38,5716444,cleaned,Kahemba Control
Konzo39,4725655,cleaned,Kahemba Control
Konzo40,6099434,cleaned,Kahemba Control
Konzo41,7809646,cleaned,Kahemba Control
Konzo42,4816962,cleaned,Kahemba Control
Konzo43,7219503,cleaned,Kahemba Control
Konzo44,5975238,cleaned,Kahemba Control
Konzo45,5308863,cleaned,Kahemba Control
Konzo46,6026027,cleaned,Kahemba Control
Konzo47,6194901,cleaned,Kahemba Control
Konzo48,6044659,cleaned,Kahemba Control
Konzo49,6416122,cleaned,Kahemba Control
Konzo50,4949863,cleaned,Kahemba Control
Konzo51,8503112,cleaned,Kahemba Control
Konzo52,6070016,cleaned,Kahemba Control
Konzo53,10907612,cleaned,Kahemba Control
Konzo54,109,cleaned,Kahemba Control
Konzo55,6420932,cleaned,Kahemba Control
Konzo56,6382072,cleaned,Kahemba Control
Konzo57,6604474,cleaned,Kahemba Control
Konzo58,5449767,cleaned,Kahemba Control
Konzo59,6638116,cleaned,Kahemba Control
Konzo60,6350241,cleaned,Kahemba Control
Konzo61,5221138,cleaned,Kahemba Cases
Konzo62,3400154,cleaned,Kahemba Cases
Konzo63,2795783,cleaned,Kahemba Cases
Konzo64,1630682,cleaned,Kahemba Cases
Konzo65,3255018,cleaned,Kahemba Cases
Konzo66,3141467,cleaned,Kahemba Cases
Konzo67,6083662,cleaned,Kahemba Cases
Konzo68,6698340,cleaned,Kahemba Cases
Konzo69,4859403,cleaned,Kahemba Cases
Konzo70,6186233,cleaned,Kahemba Cases
Konzo71,4913733,cleaned,Kahemba Cases
Konzo72,6596714,cleaned,Kahemba Cases
Konzo73,6420974,cleaned,Kahemba Cases
Konzo74,5659654,cleaned,Kahemba Cases
Konzo75,6141493,cleaned,Kahemba Cases
Konzo76,8287204,cleaned,Kahemba Cases
Konzo77,5571335,cleaned,Kahemba Cases
Konzo78,5092370,cleaned,Kahemba Cases
Konzo79,5795843,cleaned,Kahemba Cases
Konzo80,5920446,cleaned,Kahemba Cases
Konzo81,5927528,cleaned,Kahemba Cases
Konzo82,7525001,cleaned,Kahemba Cases
Konzo83,6297939,cleaned,Kahemba Cases
Konzo84,13047825,cleaned,Kahemba Cases
Konzo85,7404933,cleaned,Kahemba Cases
Konzo86,5733853,cleaned,Kahemba Cases
Konzo87,6015668,cleaned,Kahemba Cases
Konzo88,113,cleaned,Kahemba Cases
Konzo89,6746183,cleaned,Kahemba Cases
Konzo90,7062682,cleaned,Kahemba Cases
Konzo-control,1834547,cleaned,Kahemba Cases
